full_text
terimakasih kak pc nya udah datang. Paket pertama sendiri yang datang waktu co 9.9  kemasan nya aman banget & gerak cepat banget kirim nya??
"terimakasih go by and we, tidak pernah bosen kalo jajan disini. Owner+admin""nya ramah pwoll. Jajanannya juga murah"""
terimakasih kak welkit set baek uda sampaie?? kemasannya aman and pengirimannya lumayan cepat
Barang ok sesuai pesanan, kemasan aman dan rapi, pengiriman cepat
terimakasih banyak kaa, kyungsoo nya udah sampai dengan selamat, kemasan nya aman??
terimakasih banyak ka :)))) Kyungsoonya udah sampai, packagingnya aman banget
terimakasih go by and we, love banget deh. kemasannya aman banget, pengiriman juga cepat baanget heheheh terimakasih yaa ????
paketnya aman banget pengiriman dan kemasannya dan pc nya bagus kondisi???? mantap
terimakasih kak andwe, lagi-lagi paketnya aman sentosa dah. tidak akan takut sama kemasan minimalis?? terbaik dah go nya, apalagi jajanannya??
terimakasih ya kak udah bantu cariin dan bawa wl pulang???? kemasan aman dan ada freebiesnya juga!
terimakasih ka andwee kemasan nya aman bangett smpe pake box, mantap dehh????
Mendarat mulus terimakasih ???? as always kemasan aman dan rapi
udah sampai aman walau Chan rada rusak sedikit, admin ramah poll semoga bisa jajan lagi di go ini
terimakasih kaa, pc nya sampai dengan aman di binder!!! stay safe & healthy ka <3
terimakasih and we sudah sampai kemasan aman banget pc nya mulus
Barang ok sesuai pesanan, kemasan aman dan rapi, pengiriman cepat
terimakasih kak and, kyungsoo ku sampai dengan selamat????
terimakasih ann pc tamvan sudah sampai dengan aman kemasan selalu aman pengiriman cepat
Finally heheh.. kemasan aman, pokoknya terimakasih udah bantu jajan ??
Akhirnya wl aku pulang sekian lama menunggu?? suka banget ??
terimakasih Go By And We.. terimakasih juga ka andwe, sehun nya sampai dengan tampan ??
"terimakasih Go by And we pc""nya uda sampaik nih. kemasannya aman banget, ????"
terimakasih kak, chanyeolnya selamat dengan aman, terimakasih so much
terimakasih kak, paket medarat dengan aman. terimakasih permen kopiko nyaaa??
terimakasih go by and we dan smua kakak” adminnya!! kainya sudah sampai, kemasannya juga aman banget, terimakasih
Kirain akan lama krena lumayan jauh, ternyata tidak. terimakasih kak, sumpah aman banget pke kotak gemoy
Baru tau pc prive ini kayak pc unoff ya, tp terimakasih bonusnya kak
Sampai dengan selamat, kemasan aman, pengiriman cepat, terimakasih ????
aaaa cakep kertas ganteng dah sampai mendarat dengan selamat uhuyy terimakasih kak ??????????
Asiik paket udah sampai. terimakasih kak, akhirnya johnny dora pulang jugaaaa
kemasan cepat bangett, safetyy jugaa terimakasih kaa????
terimakasih kakaaaa chanyeol dan do sampai dengan selamat dan dengan ganteng?????????????? lov go by and we
terimakasih kak andwe, kertas gantengnyaa sampai rumah dengan selamat????
"terimakasih kak andwe. Wl temenku dah full nct nya?? kurang kupu"" doang sih, gapapa lah mungkin nanti dapet juga"
terimakasih kaa sehun chanyeolnya udah sampai di akuu????
kemasan cepat, harga plg murah mesti jd senang hatiku, kak andwe nya jg baik & ramah mwehehe. terimakasih yah kak! Barokah selalu GOnya??
terimakasih GO by Andwe sudah memenuhi wishlist aku, suka??
terimakasih akhirnya pertama kali pnya pc official seneng bangett terimakasih kak????
terimakasih KAK :)) packagingnya aman banget..sukak banget jajan di go andwae
terimakasih Go by And We sudah memenuhi wishlist aku, ayo jajan lagi
Yeay Akhirnya sampai dengan selamat, terimakasih GO by And We??
Ini hadiah GA si eheu.. terimakasih so much kak.. semoga semakin ramai dan laris, sukses selalu! Dan jujur aku suka, nyaman jajan di GO ini hehe
terimakasih ka andwe buat give away nya! aku dapet pc chen nih??????
aaa terimakasih ya kak barangnya sampai dengan selamat????
kemasan nya selalu aman dan cepat banget, terimakasih kak
yuta nyaa udah sampaie, terimakasih yaa udah bantu jajann<3
terimakasih admin Go by and we Poca Renjun nya udah sampai Ntr tinggal Di ksihin ke temen Aku
Pokoknya Semuanya baik... Snng banget... terimakasih sdh antr suami aku pulang ??????
terimakasih so matchaaa udah mulangin jasmer kesayangan akuuu???
Sudah mendaraaat dengan aman, terimakasih kak ditunggu jajananainnya hihi????
terimakasih kak barang smpai dengan selamat ??
terimakasih ka andwe mantap muluz muluz nih anak ganteng
Kualitas: Sangat bagus
terimakasih kaa, kemasannya aman pol makanya jehyunnya smpe dengan selamat ehhe gomawo ??
terimakasih kak baekhyun sama suho nya udah sampai ????
Bagus banget uco aku pulang wkwkwkwkw
safely arrived. terimakasih kak!??
paketnya udah sampai , sayang nya belum aku unboxing soalnya dititip sama temen terimakasih admin go by and we <3
terimakasih kaa??
terimakasih kak (????)
terimakasih ka??udah bantu kai sama bang umin nya pulang kerumah
terimakasih kakk udah sampai aman, tidak ada damage, lov lov???
terimakasih GO by And We, photocard exo'rdium D.O. ku sudah sampai??
Wowww kaaak terimakasih udah datang para gantengkuuuu ????????
terimakasih kk andweee Btw aku lupa foto PC nya kmrin skrng lagi di luar kota Aman kok terimakasih ya kk
Paket aman banget sehun baruudak pulang euy terimakasih kak an luv
terimakasih kak, chen pulang dengan aman dan selamat tanpa rusak sesedikit pun?????
terimakasih sudah mendarat dengan selamat ??????
Hihi gk kerasa ud setaunan aj join ini GO. terimakasih banyak kak.. walau jajanan exo gak serame dulu tp terimakasih ada md & bbrp pc murah yg bs kujadiin obat stress duniawi, beli dmn? Mana lagi selain di andwe?? mmf gk ad foto & video.. aku mager????
terimakasih kakk
terimakasih GO by And We??
terimakasih kak andwe??
terimakasih kak
terimakasih kakk
terimakasih ka??
terimakasih
bagus bangett sukaaa!!!
terimakasih kak
terimakasih <3 Go By And We
Gumawoo kak kai ku pulang dengan selamattt
"terimakasih kakk si ganteng akhirbya pulanggg, go terbaik yg pernah ku temukan hihihi betah deh jajan di sini:"")"
terimakasih kak! Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
ANDWEEEEEEE PC GANTENG UDAH sampaiII terimakasih FREEBIES NYA JUGAAAAA
Baik
Selalu percaya kalo mau po atau nitip apapun?
cepat dan amann terimakasih yaaa??
terimakasih by and we<3
terimakasih admin
terimakasih kakkk??
terimakasih kaaa ??
MD jepang emang cakep nya kaya apotik tutup, alias gak ada obat wkwk. terimakasih ya kaaa ....
terimakasih kak, Kyungsoo, Baekhyun dan Luhan pulang dengan selamat ?? terimakasih juga yupi dan kopikonya
cepat sampai, sangat puas. terimakasih kakak. Semoga tangannya wangi terus
terimakasih banget kak udah bawa pulang pc bbh set inii aman banget kondisi pc nya juga muluss terimakasih
Akhirnya chansoo ku sampai. Amaze banget cuma CO 1 pc tp kemasannya luar biasa niat. Beneran berlapis2 + pake box jd dijamin safe banget. terimakasih ya kak andwe~~
terimakasih kak ann paketnya udah sampai wlewlowlllxsowowixcshj
terimakasih
terimakasih ka ANDWE!! :))
terimakasih kak??
Lancar lancar rejeki nya kak?? Barang semua bagus pengiriman cepat kemasan aman pokoknyaa segala nya bagus aku serasa dimanjakan ?? uhh terimakasih kak????????
Barangnya sampai dengan cepat banget! Baguss pokoknya, terimakasih banyak
terimakasih banyak ka :))) kemasan nya aman banget, tidak ada damage sama sekali ngepull chanyeol sama kai ??
Tiba dengan selamat tanpa cacat. Seller super ramah dan helpful bangett. terimakasihy Hafa Store
terimakasih banyak kakkk^^ sampai dengan selamat sentosa wkwk
terimakasih, Hafa. Tolong tetap adakan PO lagi ya. Mantab.
Barang sampai dengan selamat.. Sesuai pesanan.. kemasan aman.. Dan dpt PC yang kata,a mehong... terimakasih..
Seneng banget, album mendarat dengan aman, dapet poster bias, gaakan kecewaaaa, dapet freebies jugaaakkk, aaa terimakasih bangetttt
Albumnya tidak ada rusak sama skli, salut sama kemasanannya dan ada stikernya jg, pokoknya the terbaik lah??
Pengirima baik walaupun lumayan lama tp gapapa hehehe harga termurah!!! adminnya juga fast respon di GO. terimakasih minn, akan rajin2 beli disini
Waahh happy banget!! Fangirling dari lama tapi baru bisa beli album huhu:') terharu sekali akhirnya bisa punya album? terimakasih banyak kakak admin yang sudah sabar atas banyaknya pertanyaan??? sukses selalu untuk kedepannyaa? next time exo cb insya allah akanan ikut GO nya lagi?? xoxo~
Mantab. Barang bagu, datang dengan aman dan selamat. kemasan aman
Seneng banget dapet pc bias???? aa baekhyun ketombe Seller nya baik banget selalu ngabarin. terimakasih so much kk
Tiba dengan selamat tanpa cacat. Seller super ramah dan helpful bangett. terimakasihy Hafa Store
Album nya mendarat dengan aman, admin nya juga ramah, pokok nya the terbaik banget ??????
Sukakkk bangettt, kemasannya rapih, album datang dengan sempurna, gak ada damage pokoknya akan sering ikut po disini terusss love youuu minnn????
Lucu bangett. Paketnya sampai cepat, wrappingnya tebel lumayan, albumnya lucuu terimakasih hafa store
Yeayyyyy akhirnya paket yang ditunggu tunggu datang jugaaaaa terimakasih ya kak paketnya sampai dengan selamat sekali lagi terimakasih kakkkkk
terimakasih. Barang sampai dengan aman, sesuai dengan pesanan
Akhirnya yg di tunggu sampai juga ..... Barang sesuai pesanan.... kemasan amaaaannnn..... terimakasih seller.....
Sukaaa bangett kakak adminnya juga ramahh walau aku agak bawelll terimakasih udah mau ladeninn aku semangattt
terimakasih ???? dapet CHANYEOL SET ????????
sampai dengan selamat??
terimakasih sudah sampai dengan selamat tanpa damage sama sekali??????
mantap abis
Mendarat dengan aman!!
Beneran ada Wang brothers,a dong itu... Agak penyok sih... Tapi dalem,a masih ada bubble wrap... Jadi aman... terimakasih....
Kai nya pulang dengan selamat ni kak, agak sedih soalnya pgn si bontot sehun trus yg datang si bontot kai, tp gapapa ttp gemecc ???? terimakasih buat freebies nya kakk
terimakasih sampai dengan selamat para cowok ganteng kesayangan aku ?????? terimakasih kak HaFa semoga sukses selalu ???
Keren banget pokoknya, respon cepat, kemasannya aman banget, udah langganan disini, terimakasih kak
terimakasih kak, huhu seneng banget dapet ayang aku???? adminnya ramah, cepat juga sampainya, terimakasih banyak pokoknya kak??
kemasan as always aman barang sampai dg selamat, harga tincasenya murce banget pas sharing aku samsek tidak menyesal huhu. kemasan & send ke ekspedisi jg cepat. Sumpah ini cakeep, biasanya aku b aja liat tincase tp punya exo cakeep serius. Admin ramah, jelas kalo nerangin sistem di GO. terimakasih.
terimakasih ka an tangan kakak selalu wangi!????
terimakasih terbaikie pulang dengan selamat dan sentosa ?????? kemasan aman dan safety banget, terimakasih yaa kaka seller ????
terimakasih kak andwae, barangnya sampai dengan mulus hehehe !! ?????? lgsg unboxing akhirnya kim kai ku sampai dirumah juga ehe~
yeaayyy bahagia beud dapet ayang kyungsoo sesuai harapan ?? adminnya super baik dan ramah ini merchandise pertama yang aku beli di GO, sejauh ini puas banget aslii terimakasih banyak yaaa kak
"terimakasih kak. Paketnya sudah sampai. Terbaik dah nih go masalah po"" merch gini??"
terimakasih banyak kak ann udah bantu jajan?? Barangnya sesuai, kemasannya juga aman banget????
huhu tiba dengan selamat. aaa finally setelah 2 bulan
Cowokku yang sampai ganteng ganteng ??, packaging aman
terimakasih kak, paketnya aman dpt sesuai yang aku mau jg ?? akan jd toko fav ni??
